id,title,title_en
1,Harry Potter à l'École des Sorciers,Harry Potter and the Philosopher's Stone
2,Harry Potter et la Chambre des Secrets,Harry Potter and the Chamber of Secrets
3,Harry Potter et le Prisonnier d'Azkaban,Harry Potter and the Prisoner of Azkaban
4,Harry Potter et la Coupe de Feu,Harry Potter and the Goblet of Fire
5,Harry Potter et l'Ordre du Phénix,Harry Potter and the Order of the Phoenix
6,Harry Potter et le Prince de Sang-Mêlé,Harry Potter and the Half-Blood Prince
7,Harry Potter et les Reliques de la Mort,Harry Potter and the Deathly Hollows
8,Harry Potter et l'Enfant Maudit,Harry Potter and the Cursed Child
11,Harry Potter à l'École des Sorciers - Film,Harry Potter and the Philosopher's Stone - Movie
12,Harry Potter et la Chambre des Secrets - Film,Harry Potter and the Chamber of Secrets - Movie
13,Harry Potter et le Prisonnier d'Azkaban - Film,Harry Potter and the Prisoner of Azkaban - Movie
14,Harry Potter et la Coupe de Feu - Film,Harry Potter and the Goblet of Fire - Movie
15,Harry Potter et l'Ordre du Phénix - Film,Harry Potter and the Order of the Phoenix - Movie
16,Harry Potter et le Prince de Sang-Mêlé - Film,Harry Potter and the Half-Blood Prince - Movie
17,Harry Potter et les Reliques de la Mort - Partie 1 - Film,Harry Potter and the Deathly Hallows - Part 1 - Movie
18,Harry Potter et les Reliques de la Mort - Partie 2 - Film,Harry Potter and the Deathly Hallows - Part 2 - Movie
21,Les Animaux Fantastiques,Fantastic Beasts and Where to Find Them
